# 16500 events
master_workers,node1_workers,node2_workers,real_time
2,4,3,507.585
0,2,4,2197.53
3,4,2,513.575
1,2,3,726.878
2,4,1,671.587
0,2,1,1396.78
0,1,4,951.565
2,4,2,576.863
2,3,2,637.785
3,1,1,872.112
1,3,3,634.148
0,3,4,666.937
1,1,4,767.477
3,4,0,676.649
3,4,4,426.924
3,3,3,499.325
1,4,4,514.591
3,2,3,566.977
3,2,2,639.622
2,1,3,723.441
1,4,2,645.983
3,0,0,1439.75
3,0,2,877.362
0,4,2,760.136
0,4,4,583.437
0,3,3,739.728

1,2,4,658.403
2,0,4,778.713
2,1,4,667.688
3,2,4,511.621
3,3,0,728.904
0,2,3,879.481
0,4,3,662.221
0,0,3,1439.06
1,3,2,726.831
3,3,4,457.87
3,4,3,452.008

1,3,4,574.352
0,4,1,947.914
2,3,3,554.107
3,3,2,550.612
0,2,2,1069.75

2,2,2,714.369
1,4,1,744.761
3,0,4,670.113
3,1,4,585.439
3,1,2,730.502
3,6,6,449.831

3,4,1,570.919
3,5,5,431.112

0,1,2,1399.34
2,4,0,777.065
0,3,0,1452.37
2,3,1,734.122
3,1,3,625.372
2,3,4,511.853
0,3,2,871.357
2,2,4,579.635
1,4,3,573.39
0,1,0,4081.62
3,3,1,633.529
0,0,1,4111.56
3,2,0,895.307
3,2,1,720.512

3,0,3,759.672
2,4,4,479.472
2,2,3,641.259
